PROJECT_NAME,LATITUDE,LONGITUDE
D' ALMIRA,1.34479945,103.8679315
D' CASITA,1.32186442,103.90935340000001
D' CASTILIA,1.312860433,103.90335999999999
D' DALVEY,1.321145847,103.821655
D' FRESCO,1.3123223240000002,103.9037699
D' IXORAS,1.324125118,103.8490372
D' KENARIS,1.384843946,103.87195600000001
D' PALMA,1.31995245,103.91173520000001
D' SILVA TERRACE,1.365354102,103.88262519999999
D'CHATEAU @ SHELFORD,1.328147793,103.8119007
D'ECOSIA,1.306247125,103.9100854
D'GROVE VILLAS,1.309105572,103.82769520000001
D'HIRO@HILLSIDE,1.360001848,103.8748557
D'LEEDON,1.315420097,103.8033828
D'LOTUS,1.326182004,103.8535373
D'MIRA,1.327463019,103.849941
D'NEST,1.368802081,103.94548940000001
D'OASIA,1.3196713709999999,103.91027609999999
D'PAVILION,1.356433522,103.88045670000001
D'SUNRISE,1.312015144,103.9010132
D'WEAVE,1.315542205,103.89047109999998
D'ZIRE,1.3683063469999999,103.8821734
DAHLIA PARK CONDOMINIUM,1.359112462,103.96568459999999
DAINTREE RESIDENCE,1.339346825,103.77047209999999
DAIRY FARM RESIDENCES,1.3665491980000002,103.7746925
DAISY LODGE,1.3444465380000001,103.8675023
DAISY PARK,1.34493919,103.8664968
DAISY PETALS,1.3447967730000001,103.8675442
DAISY SUITES,1.3438276319999998,103.86839300000001
DAKOTA RESIDENCES,1.306342041,103.88708270000001
DALLA VALE,1.4009284730000002,103.8235493
DALVEY COURT,1.321007578,103.82217829999999
DALVEY HAUS,1.316326851,103.8253689
DARBY PARK,1.310141408,103.8264092
DAWN VILLE,1.3125515559999998,103.89457309999999
DE CASALLE,1.310144281,103.915379
DE CENTURION,1.298896847,103.88434620000001
DE LENTE,1.311869659,103.80179090000001
DE PARADISO,1.324084813,103.85064179999999
DE ROYALE,1.328193873,103.84938559999999
DEDAP GARDENS,1.388098124,103.8677017
DELIGHT COURT,1.31481343,103.8880469
DENG FU VILLE,1.319136088,103.9068418
DERBYSHIRE HEIGHTS,1.316114382,103.8455255
DEVONSHIRE 12,1.2980667240000001,103.8380248
DEVONSHIRE RESIDENCES,1.29883227,103.83735159999999
DLV.,1.31559775,103.82516020000001
DOMAIN 21,1.291891453,103.82538079999999
DOMUS,1.325710457,103.8455069
DONG XING COURT,1.312547414,103.9292986
DORMER PARK,1.294502148,103.8213312
DORSET MANSIONS,1.313492441,103.84998
DORSETT RESIDENCES,1.279949588,103.8402722
DOUBLE BAY RESIDENCES,1.340414554,103.9564013
DOVER PARKVIEW,1.305828505,103.78384940000001
DRAGON VIEW PARK,1.296769509,103.82806550000001
DRAYCOTT EIGHT,1.310925315,103.8320693
DUBLIN LODGE,1.297854463,103.8400598
DUCHESS CREST,1.3248109129999999,103.8031311
DUCHESS GARDEN,1.323502705,103.80189449999999
DUCHESS MANOR,1.324486916,103.80734790000001
DUCHESS PLACE,1.32450619,103.8021567
DUCHESS RESIDENCES,1.324247483,103.80125759999999
DUCHESS ROYALE,1.324125092,103.80617240000001
DUET,1.31119793,103.8042835
DUKE'S GARDEN,1.3241121040000001,103.80819190000001
DUKES RESIDENCE,1.321580564,103.8113892
DUKU APARTMENTS,1.310683271,103.90614129999999
